date,Skew_sharpe_3y,Trend_sharpe_3y,50% skew / 50% trend_sharpe_3y,Skew_sharpe_5y,Trend_sharpe_5y,50% skew / 50% trend_sharpe_5y,skew_trend_correlation_3y
1991-06-12,,,,,,,
1991-06-13,,,,,,,
1991-06-14,,,,,,,
1991-06-17,,,,,,,
1991-06-18,,,,,,,
1991-06-19,,,,,,,
1991-06-20,,,,,,,
1991-06-21,,,,,,,
1991-06-24,,,,,,,
1991-06-25,,,,,,,
1991-06-26,,,,,,,
1991-06-27,,,,,,,
1991-06-28,,,,,,,
1991-07-01,,,,,,,
1991-07-02,,,,,,,
1991-07-03,,,,,,,
1991-07-05,,,,,,,
1991-07-08,,,,,,,
1991-07-09,,,,,,,
1991-07-10,,,,,,,
1991-07-11,,,,,,,
1991-07-12,,,,,,,
1991-07-15,,,,,,,
1991-07-16,,,,,,,
1991-07-17,,,,,,,
1991-07-18,,,,,,,
1991-07-19,,,,,,,
1991-07-22,,,,,,,
1991-07-23,,,,,,,
1991-07-24,,,,,,,
1991-07-25,,,,,,,
1991-07-26,,,,,,,
1991-07-29,,,,,,,
1991-07-30,,,,,,,
1991-07-31,,,,,,,
1991-08-01,,,,,,,
1991-08-02,,,,,,,
1991-08-05,,,,,,,
1991-08-06,,,,,,,
1991-08-07,,,,,,,
1991-08-08,,,,,,,
1991-08-09,,,,,,,
1991-08-12,,,,,,,
1991-08-13,,,,,,,
1991-08-14,,,,,,,
1991-08-15,,,,,,,
1991-08-16,,,,,,,
1991-08-19,,,,,,,
1991-08-20,,,,,,,
1991-08-21,,,,,,,
1991-08-22,,,,,,,
1991-08-23,,,,,,,
1991-08-26,,,,,,,
1991-08-27,,,,,,,
1991-08-28,,,,,,,
1991-08-29,,,,,,,
1991-08-30,,,,,,,
1991-09-03,,,,,,,
1991-09-04,,,,,,,
1991-09-05,,,,,,,
1991-09-06,,,,,,,
1991-09-09,,,,,,,
1991-09-10,,,,,,,
1991-09-11,,,,,,,
1991-09-12,,,,,,,
1991-09-13,,,,,,,
1991-09-16,,,,,,,
1991-09-17,,,,,,,
1991-09-18,,,,,,,
1991-09-19,,,,,,,
1991-09-20,,,,,,,
1991-09-23,,,,,,,
1991-09-24,,,,,,,
1991-09-25,,,,,,,
1991-09-26,,,,,,,
1991-09-27,,,,,,,
1991-09-30,,,,,,,
1991-10-01,,,,,,,
1991-10-02,,,,,,,
1991-10-03,,,,,,,
1991-10-04,,,,,,,
1991-10-07,,,,,,,
1991-10-08,,,,,,,
1991-10-09,,,,,,,
1991-10-10,,,,,,,
1991-10-11,,,,,,,
1991-10-14,,,,,,,
1991-10-15,,,,,,,
1991-10-16,,,,,,,
1991-10-17,,,,,,,
1991-10-18,,,,,,,
1991-10-21,,,,,,,
1991-10-22,,,,,,,
1991-10-23,,,,,,,
1991-10-24,,,,,,,
1991-10-25,,,,,,,
1991-10-28,,,,,,,
1991-10-29,,,,,,,
1991-10-30,,,,,,,
1991-10-31,,,,,,,
1991-11-01,,,,,,,
1991-11-04,,,,,,,
1991-11-05,,,,,,,
1991-11-06,,,,,,,
1991-11-07,,,,,,,
1991-11-08,,,,,,,
1991-11-11,,,,,,,
1991-11-12,,,,,,,
1991-11-13,,,,,,,
1991-11-14,,,,,,,
1991-11-15,,,,,,,
1991-11-18,,,,,,,
1991-11-19,,,,,,,
1991-11-20,,,,,,,
1991-11-21,,,,,,,
1991-11-22,,,,,,,
1991-11-25,,,,,,,
1991-11-26,,,,,,,
1991-11-27,,,,,,,
1991-11-29,,,,,,,
1991-12-02,,,,,,,
1991-12-03,,,,,,,
1991-12-04,,,,,,,
1991-12-05,,,,,,,
1991-12-06,,,,,,,
1991-12-09,,,,,,,
1991-12-10,,,,,,,
1991-12-11,,,,,,,
1991-12-12,,,,,,,
1991-12-13,,,,,,,
1991-12-16,,,,,,,
1991-12-17,,,,,,,
1991-12-18,,,,,,,
1991-12-19,,,,,,,
1991-12-20,,,,,,,
1991-12-23,,,,,,,
1991-12-24,,,,,,,
1991-12-26,,,,,,,
1991-12-27,,,,,,,
1991-12-30,,,,,,,
1991-12-31,,,,,,,
1992-01-02,,,,,,,
1992-01-03,,,,,,,
1992-01-06,,,,,,,
1992-01-07,,,,,,,
1992-01-08,,,,,,,
1992-01-09,,,,,,,
1992-01-10,,,,,,,
1992-01-13,,,,,,,
1992-01-14,,,,,,,
1992-01-15,,,,,,,
1992-01-16,,,,,,,
1992-01-17,,,,,,,
1992-01-20,,,,,,,
1992-01-21,,,,,,,
1992-01-22,,,,,,,
1992-01-23,,,,,,,
1992-01-24,,,,,,,
1992-01-27,,,,,,,
1992-01-28,,,,,,,
1992-01-29,,,,,,,
1992-01-30,,,,,,,
1992-01-31,,,,,,,
1992-02-03,,,,,,,
1992-02-04,,,,,,,
1992-02-05,,,,,,,
1992-02-06,,,,,,,
1992-02-07,,,,,,,
1992-02-10,,,,,,,
1992-02-11,,,,,,,
1992-02-12,,,,,,,
1992-02-13,,,,,,,
1992-02-14,,,,,,,
1992-02-18,,,,,,,
1992-02-19,,,,,,,
1992-02-20,,,,,,,
1992-02-21,,,,,,,
1992-02-24,,,,,,,
1992-02-25,,,,,,,
1992-02-26,,,,,,,
1992-02-27,,,,,,,
1992-02-28,,,,,,,
1992-03-02,,,,,,,
1992-03-03,,,,,,,
1992-03-04,,,,,,,
1992-03-05,,,,,,,
1992-03-06,,,,,,,
1992-03-09,,,,,,,
1992-03-10,,,,,,,
1992-03-11,,,,,,,
1992-03-12,,,,,,,
1992-03-13,,,,,,,
1992-03-16,,,,,,,
1992-03-17,,,,,,,
1992-03-18,,,,,,,
1992-03-19,,,,,,,
1992-03-20,,,,,,,
1992-03-23,,,,,,,
1992-03-24,,,,,,,
1992-03-25,,,,,,,
1992-03-26,,,,,,,
1992-03-27,,,,,,,
1992-03-30,,,,,,,
1992-03-31,,,,,,,
1992-04-01,,,,,,,
1992-04-02,,,,,,,
1992-04-03,,,,,,,
1992-04-06,,,,,,,
1992-04-07,,,,,,,
1992-04-08,,,,,,,
1992-04-09,,,,,,,
1992-04-10,,,,,,,
1992-04-13,,,,,,,
1992-04-14,,,,,,,
1992-04-15,,,,,,,
1992-04-16,,,,,,,
1992-04-20,,,,,,,
1992-04-21,,,,,,,
1992-04-22,,,,,,,
1992-04-23,,,,,,,
1992-04-24,,,,,,,
1992-04-27,,,,,,,
1992-04-28,,,,,,,
1992-04-29,,,,,,,
1992-04-30,,,,,,,
1992-05-01,,,,,,,
1992-05-04,,,,,,,
1992-05-05,,,,,,,
1992-05-06,,,,,,,
1992-05-07,,,,,,,
1992-05-08,,,,,,,
1992-05-11,,,,,,,
1992-05-12,,,,,,,
1992-05-13,,,,,,,
1992-05-14,,,,,,,
1992-05-15,,,,,,,
1992-05-18,,,,,,,
1992-05-19,,,,,,,
1992-05-20,,,,,,,
1992-05-21,,,,,,,
1992-05-22,,,,,,,
1992-05-26,,,,,,,
1992-05-27,,,,,,,
1992-05-28,,,,,,,
1992-05-29,,,,,,,
1992-06-01,,,,,,,
1992-06-02,,,,,,,
1992-06-03,,,,,,,
1992-06-04,,,,,,,
1992-06-05,,,,,,,
1992-06-08,,,,,,,
1992-06-09,,,,,,,
1992-06-10,,,,,,,
1992-06-11,,,,,,,
1992-06-12,,,,,,,
1992-06-15,,,,,,,
1992-06-16,,,,,,,
1992-06-17,,,,,,,
1992-06-18,,,,,,,
1992-06-19,,,,,,,
1992-06-22,,,,,,,
1992-06-23,,,,,,,
1992-06-24,,,,,,,
1992-06-25,,,,,,,
1992-06-26,,,,,,,
1992-06-29,,,,,,,
1992-06-30,,,,,,,
1992-07-01,,,,,,,
1992-07-02,,,,,,,
1992-07-06,,,,,,,
1992-07-07,,,,,,,
1992-07-08,,,,,,,
1992-07-09,,,,,,,
1992-07-10,,,,,,,
1992-07-13,,,,,,,
1992-07-14,,,,,,,
1992-07-15,,,,,,,
1992-07-16,,,,,,,
1992-07-17,,,,,,,
1992-07-20,,,,,,,
1992-07-21,,,,,,,
1992-07-22,,,,,,,
1992-07-23,,,,,,,
1992-07-24,,,,,,,
1992-07-27,,,,,,,
1992-07-28,,,,,,,
1992-07-29,,,,,,,
1992-07-30,,,,,,,
1992-07-31,,,,,,,
1992-08-03,,,,,,,
1992-08-04,,,,,,,
1992-08-05,,,,,,,
1992-08-06,,,,,,,
1992-08-07,,,,,,,
1992-08-10,,,,,,,
1992-08-11,,,,,,,
1992-08-12,,,,,,,
1992-08-13,,,,,,,
1992-08-14,,,,,,,
1992-08-17,,,,,,,
1992-08-18,,,,,,,
1992-08-19,,,,,,,
1992-08-20,,,,,,,
1992-08-21,,,,,,,
1992-08-24,,,,,,,
1992-08-25,,,,,,,
1992-08-26,,,,,,,
1992-08-27,,,,,,,
1992-08-28,,,,,,,
1992-08-31,,,,,,,
1992-09-01,,,,,,,
1992-09-02,,,,,,,
1992-09-03,,,,,,,
1992-09-04,,,,,,,
1992-09-08,,,,,,,
1992-09-09,,,,,,,
1992-09-10,,,,,,,
1992-09-11,,,,,,,
1992-09-14,,,,,,,
1992-09-15,,,,,,,
1992-09-16,,,,,,,
1992-09-17,,,,,,,
1992-09-18,,,,,,,
1992-09-21,,,,,,,
1992-09-22,,,,,,,
1992-09-23,,,,,,,
1992-09-24,,,,,,,
1992-09-25,,,,,,,
1992-09-28,,,,,,,
1992-09-29,,,,,,,
1992-09-30,,,,,,,
1992-10-01,,,,,,,
1992-10-02,,,,,,,
1992-10-05,,,,,,,
1992-10-06,,,,,,,
1992-10-07,,,,,,,
1992-10-08,,,,,,,
1992-10-09,,,,,,,
1992-10-12,,,,,,,
1992-10-13,,,,,,,
1992-10-14,,,,,,,
1992-10-15,,,,,,,
1992-10-16,,,,,,,
1992-10-19,,,,,,,
1992-10-20,,,,,,,
1992-10-21,,,,,,,
1992-10-22,,,,,,,
1992-10-23,,,,,,,
1992-10-26,,,,,,,
1992-10-27,,,,,,,
1992-10-28,,,,,,,
1992-10-29,,,,,,,
1992-10-30,,,,,,,
1992-11-02,,,,,,,
1992-11-03,,,,,,,
1992-11-04,,,,,,,
1992-11-05,,,,,,,
1992-11-06,,,,,,,
1992-11-09,,,,,,,
1992-11-10,,,,,,,
1992-11-11,,,,,,,
1992-11-12,,,,,,,
1992-11-13,,,,,,,
1992-11-16,,,,,,,
1992-11-17,,,,,,,
1992-11-18,,,,,,,
1992-11-19,,,,,,,
1992-11-20,,,,,,,
1992-11-23,,,,,,,
1992-11-24,,,,,,,
1992-11-25,,,,,,,
1992-11-27,,,,,,,
1992-11-30,,,,,,,
1992-12-01,,,,,,,
1992-12-02,,,,,,,
1992-12-03,,,,,,,
1992-12-04,,,,,,,
1992-12-07,,,,,,,
1992-12-08,,,,,,,
1992-12-09,,,,,,,
1992-12-10,,,,,,,
1992-12-11,,,,,,,
1992-12-14,,,,,,,
1992-12-15,,,,,,,
1992-12-16,,,,,,,
1992-12-17,,,,,,,
1992-12-18,,,,,,,
1992-12-21,,,,,,,
1992-12-22,,,,,,,
1992-12-23,,,,,,,
1992-12-24,-0.3575543158862617,0.25308622778758333,-0.030587330914465066,,,,-0.4888067077636256
1992-12-28,-0.33461566806970733,0.2508720928962709,-0.013634502425360248,,,,-0.48858616502567725
1992-12-29,-0.3469942042737156,0.27122897177766575,-0.0020124920532144474,,,,-0.4889087218692717
1992-12-30,-0.35284843088601403,0.26838167687519976,-0.010106645939148623,,,,-0.48882751959125725
1992-12-31,-0.33428344220902506,0.2534111064891073,-0.01055297139440739,,,,-0.48925789027232935
1993-01-04,-0.37386657289304087,0.3004227908931706,0.006988991716622734,,,,-0.4921244189659134
1993-01-05,-0.35628601269962573,0.2731993278972128,-0.007403499133351688,,,,-0.49280293233451483
1993-01-06,-0.337201865634341,0.2668395030130913,0.0018613632264846043,,,,-0.49288170935801995
1993-01-07,-0.3034055259261743,0.20982876108358592,-0.03059501617271352,,,,-0.49538073965744783
1993-01-08,-0.2995804314131207,0.21189102829883738,-0.025070757924022906,,,,-0.4953423908298022
1993-01-11,-0.3020456109589512,0.22433363936443912,-0.013532957325016486,,,,-0.4953041049348082
1993-01-12,-0.2877855781631643,0.19373544403952134,-0.03450949737293244,,,,-0.49578738341793194
1993-01-13,-0.32746097005943786,0.19939013007952835,-0.06287498324587891,,,,-0.49522363093057153
1993-01-14,-0.35232969122661495,0.2259105301546627,-0.055237922424904225,,,,-0.4962126321283574
1993-01-15,-0.35283143849900606,0.25594307521380216,-0.022424654438642902,,,,-0.4955434766961649
1993-01-18,-0.34965908549943614,0.2341218944320078,-0.04334615145622547,,,,-0.49541387194789244
1993-01-19,-0.33856405007936,0.20349533537767608,-0.06701049870577912,,,,-0.49567400078684093
1993-01-20,-0.34645088615079,0.18296042427654483,-0.09598496049639046,,,,-0.4948514404913761
1993-01-21,-0.35761126546908184,0.2180214768925981,-0.06672686540317416,,,,-0.4949821851899594
1993-01-22,-0.3521588468045188,0.23770296707269328,-0.040379242709095424,,,,-0.4943272988344272
1993-01-25,-0.41782426103316933,0.274142266549864,-0.05836148096369523,,,,-0.49736273398159786
1993-01-26,-0.395179384450219,0.26545473462291663,-0.048668407283555815,,,,-0.4975301493026434
1993-01-27,-0.395609298838191,0.269342921725653,-0.0447748896554807,,,,-0.49751953177067365
1993-01-28,-0.4060223039087395,0.3163571602270839,-0.0011201570977918383,,,,-0.49717347231553916
1993-01-29,-0.4077012630205271,0.3248481494055141,0.006775339885369123,,,,-0.4971509580323118
1993-02-01,-0.4279691102093211,0.34462781404693504,0.011084942451487957,,,,-0.49773905619108655
1993-02-02,-0.42793101421696955,0.3422614031765234,0.008528785404993414,,,,-0.49773758514787003
1993-02-03,-0.45746081313747344,0.3578187760097492,-9.215583040119768e-05,,,,-0.4982615051790972
1993-02-04,-0.4606108791828851,0.396927825417334,0.04098363940253013,,,,-0.4973921106017316
1993-02-05,-0.4516909455380864,0.4400817746440475,0.09678421657662986,,,,-0.4946500510079206
1993-02-08,-0.46836306320120985,0.4220774252731539,0.06286310662068456,,,,-0.49330786317305875
1993-02-09,-0.5152218157052492,0.4105643585140732,0.008987005830203676,,,,-0.48978422120244747
1993-02-10,-0.5089593437978509,0.370974921497685,-0.02780637681559841,,,,-0.48943140512606853
1993-02-11,-0.5171156512825191,0.4058182946710239,0.00396949231053761,,,,-0.48927834965391725
1993-02-12,-0.5153719656701454,0.40439958032318074,0.00390012134238011,,,,-0.4892848977579041
1993-02-16,-0.44802514002146565,0.3582073065887698,0.009438061410775033,,,,-0.49352088723240173
1993-02-17,-0.4616759267767675,0.37341398308990986,0.014445007100875283,,,,-0.4938156553293963
1993-02-18,-0.45080861897613494,0.43445801555863767,0.09228567992946111,,,,-0.4886484149014651
1993-02-19,-0.4768873919136735,0.4574828736238856,0.09530934275947524,,,,-0.48954732903600107
1993-02-22,-0.5178658051680674,0.5135470193472396,0.12328887890423594,,,,-0.4930314838980523
1993-02-23,-0.48870831190962943,0.5324728888408006,0.16793502943281333,,,,-0.4905271191101347
1993-02-24,-0.506826624325513,0.5244473261631013,0.14360128199050054,,,,-0.48978008099699266
1993-02-25,-0.5066744180331557,0.5298893725312909,0.14967403186269773,,,,-0.48975041985486806
1993-02-26,-0.48737393206798235,0.5218393102505091,0.1570144379479207,,,,-0.48992281369688856
1993-03-01,-0.44708891547204704,0.5023535659407978,0.1692053427354534,,,,-0.4908393738772185
1993-03-02,-0.45960951807785805,0.5019146397143518,0.1580077743354757,,,,-0.49069158138532926
1993-03-03,-0.46823847123913376,0.5423532839756945,0.19583036040891996,,,,-0.49039470372759797
1993-03-04,-0.49071233383053875,0.5543507719216416,0.18972052594890404,,,,-0.4906942886994711
1993-03-05,-0.47752172889581557,0.5314482009707696,0.17619614386254348,,,,-0.4911127507359605
1993-03-08,-0.47712694776487713,0.5703496759843384,0.21981071672552302,,,,-0.48984255433828144
1993-03-09,-0.4605538422335196,0.5579237243293235,0.22021869852906323,,,,-0.4901694366800596
1993-03-10,-0.4449910379915316,0.5416324214794119,0.21567077530018852,,,,-0.49057917769665327
1993-03-11,-0.44319024866938167,0.5500667796502745,0.2264112066477289,,,,-0.49047437389173965
1993-03-12,-0.4474238884960042,0.5203193019567373,0.1907535556774234,,,,-0.48948637342179574
1993-03-15,-0.4448778939861061,0.4905535330784924,0.16091789804434709,,,,-0.4891074121568796
1993-03-16,-0.44668404364180236,0.5086685689024427,0.17933016562637896,,,,-0.48894059099137
1993-03-17,-0.4313033933122071,0.4905911763976203,0.17266802892402752,,,,-0.4893827415659561
1993-03-18,-0.4346026349486864,0.49110727577445373,0.17045077398713177,,,,-0.48937558442867823
1993-03-19,-0.4303050346750743,0.4665432130628436,0.1475968342890652,,,,-0.4892682809738705
1993-03-22,-0.40910973889398244,0.4679702118356711,0.16663956731919727,,,,-0.4888768071517651
1993-03-23,-0.40900185350167517,0.4823232367048686,0.18247206373732697,,,,-0.48870790286001303
1993-03-24,-0.3947382416138793,0.4509362773714474,0.16072199973154566,,,,-0.4892088408230192
1993-03-25,-0.4108326522568548,0.47285772206210064,0.17134165645555927,,,,-0.4897038387086228
1993-03-26,-0.4271193913470519,0.44394246912374474,0.12616962201128923,,,,-0.48752138639456305
1993-03-29,-0.4244356198822831,0.44554403518775765,0.13015653237177988,,,,-0.487502567439324
1993-03-30,-0.40602382645714624,0.4420506570557222,0.14157904258268802,,,,-0.48746187242224354
